"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
1430,"기아","중형차",90323,"오토","LPG","흰색","N",49,3
1490,"현대","중형차",113602,"오토","가솔린","흰색","N",49,1
1650,"현대","중형차",13142,"오토","LPG","쥐색","N",43,3
1470,"현대","중형차",64331,"오토","LPG","흰색","N",43,1
1450,"기아","중형차",93454,"오토","LPG","청색","Y",50,2
1070,"현대","중형차",159402,"오토","LPG","흰색","N",52,1
409,"현대","중형차",33062,"오토","가솔린","흰색","N",201,1
590,"기아","중형차",169297,"오토","가솔린","흰색","N",138,5
590,"기아","중형차",147561,"오토","가솔린","검정색","Y",142,3
1590,"기아","중형차",80976,"오토","LPG","은색","N",53,2
990,"기아","중형차",160794,"오토","LPG","흰색","N",70,1
840,"기아","중형차",96917,"오토","가솔린","흰색","N",135,2
1120,"기아","중형차",123092,"오토","디젤","검정색","N",74,4
1330,"현대","중형차",151330,"오토","LPG","흰색","N",54,1
729,"현대","중형차",131670,"오토","가솔린","흰색","N",120,3
1690,"기아","중형차",46676,"오토","가솔린","검정색","Y",33,2
1120,"현대","중형차",103569,"오토","가솔린","은색","N",85,1
1630,"현대","중형차",28272,"오토","LPG","흰색","N",43,1
969,"기아","중형차",122131,"오토","가솔린","흰색","N",93,0
1430,"기아","중형차",43587,"오토","가솔린","진주색","N",85,2
1030,"현대","중형차",131358,"오토","디젤","흰색","N",79,4
328,"현대","중형차",120750,"오토","LPG","검정색","N",198,3
350,"현대","중형차",128639,"오토","가솔린","검정색","N",181,6
670,"현대","중형차",186818,"오토","LPG","쥐색","N",91,4
690,"기아","중형차",151500,"오토","가솔린","흰색","Y",116,9
790,"현대","중형차",101800,"오토","LPG","흰색","Y",114,3
1210,"현대","중형차",109723,"오토","LPG","검정색","N",78,3
1950,"기아","중형차",24008,"오토","가솔린","청색","N",35,1
2399,"현대","중형차",20000,"오토","가솔린","검정색","N",30,1
1550,"기아","중형차",54383,"오토","디젤","흰색","N",54,1
1190,"기아","중형차",103426,"오토","LPG","흰색","N",74,1
2580,"기아","중형차",49070,"오토","LPG","흰색","N",30,0
1460,"현대","중형차",95346,"오토","LPG","흰색","N",39,3
960,"현대","중형차",147622,"오토","LPG","쥐색","Y",59,1
575,"현대","중형차",144937,"오토","가솔린","검정색","N",143,4
2180,"현대","중형차",48878,"오토","가솔린","흰색","N",32,3
570,"현대","중형차",134722,"오토","가솔린","검정색","N",147,2
1350,"현대","중형차",84540,"오토","LPG","흰색","N",51,2
449,"현대","중형차",185992,"오토","가솔린","은색","N",131,3
879,"기아","중형차",132446,"오토","LPG","은색","N",52,3
950,"기아","중형차",50057,"오토","LPG","검정색","N",103,3
840,"기아","중형차",102000,"오토","LPG","흰색","N",84,5
580,"현대","중형차",128173,"오토","가솔린","연금색","N",148,1
2570,"현대","중형차",41824,"오토","가솔린","쥐색","N",29,1
1060,"현대","중형차",122752,"오토","가솔린","쥐색","N",88,3
999,"현대","중형차",99474,"오토","디젤","검정색","Y",72,1
380,"현대","중형차",107510,"오토","가솔린","검정색","Y",184,1
1230,"현대","중형차",113303,"오토","가솔린","흰색","N",99,9
590,"기아","중형차",156000,"오토","가솔린","은색","N",142,2
850,"기아","중형차",111000,"오토","가솔린","진주색","N",128,2
670,"기아","중형차",151380,"오토","가솔린","갈대색","N",120,5
1730,"기아","중형차",61331,"오토","LPG","쥐색","N",43,2
1280,"현대","중형차",87068,"오토","LPG","흰색","N",35,1
500,"현대","중형차",109310,"오토","가솔린","흰색","Y",130,6
1360,"현대","중형차",113618,"오토","LPG","흰색","N",56,2
1690,"기아","중형차",77906,"오토","LPG","흰색","N",47,1
1750,"기아","중형차",42254,"오토","디젤","흰색","N",68,1
1150,"기아","중형차",102650,"오토","디젤","쥐색","N",80,1
1220,"현대","중형차",125372,"오토","가솔린","검정색","N",74,2
1520,"기아","중형차",31858,"오토","LPG","흰색","N",48,1
350,"현대","중형차",201236,"오토","LPG","검정색","Y",111,4
450,"기아","중형차",235293,"오토","LPG","검정색","N",127,1
760,"기아","중형차",114000,"오토","가솔린","흰색","N",136,1
1329,"기아","중형차",90141,"오토","LPG","청색","N",56,2
2680,"현대","중형차",18931,"오토","가솔린","흰색","N",14,1
1350,"기아","중형차",77480,"오토","가솔린","흰색","N",66,3
1160,"기아","중형차",117518,"오토","LPG","흰색","N",80,1
470,"기아","중형차",226000,"오토","가솔린","검정색","Y",135,4
880,"현대","중형차",136000,"오토","가솔린","은회색","N",91,3
1890,"현대","중형차",27135,"오토","가솔린","검정색","N",43,1
570,"기아","중형차",217640,"오토","가솔린","흰색","N",129,3
1780,"현대","중형차",52193,"오토","가솔린","쥐색","N",47,1
1690,"현대","중형차",88271,"오토","가솔린","쥐색","N",55,1
590,"현대","중형차",167111,"오토","가솔린","은회색","N",96,1
1570,"기아","중형차",69225,"오토","가솔린","흰색","Y",62,1
1500,"기아","중형차",67449,"오토","LPG","흰색","N",51,2
690,"기아","중형차",184394,"오토","LPG","흰색","N",117,4
1390,"기아","중형차",90635,"오토","가솔린","검정색","N",82,2
1100,"현대","중형차",95628,"오토","LPG","검정색","N",69,2
1070,"기아","중형차",128756,"오토","LPG","흰색","N",61,1
280,"현대","중형차",170164,"오토","LPG","검정색","N",201,3
650,"기아","중형차",72587,"오토","가솔린","은색","N",137,7
530,"현대","중형차",150331,"오토","가솔린","쥐색","N",144,2
1220,"기아","중형차",78727,"오토","LPG","흰색","N",107,3
1560,"기아","중형차",70341,"오토","LPG","흰색","N",36,1
1020,"기아","중형차",128475,"오토","LPG","은색","Y",79,4
380,"현대","중형차",259098,"오토","LPG","은회색","N",141,5
920,"기아","중형차",106816,"오토","가솔린","검정색","N",103,7
1730,"현대","중형차",61468,"오토","가솔린","검정색","N",41,1
1250,"현대","중형차",73911,"오토","LPG","검정색","N",99,2
390,"현대","중형차",115986,"오토","가솔린","은색","N",172,2
1380,"현대","중형차",119447,"오토","LPG","흰색","N",56,2
