ymonth,nation,itemNm,imXprt,weight,dollar
202001,베트남,대구,수출,273993.56,688410.0
202001,미국,대구,수출,50.0,584.0
202001,미국,대구,수입,560980.86,1338128.0
202001,중국,대구,수출,911962.5,3039019.0
202001,중국,대구,수입,72000.0,101299.0
202001,스페인,대구,수출,47480.0,166556.0
202001,노르웨이,송어,수입,4665.46,67733.0
202001,베트남,메기,수입,208932.0,764758.0
202001,미국,,수출,21.5,340.0
202001,기니아,세피아 오피시날리스,수입,1871.5,7949.0
202001,아일랜드,세피아 오피시날리스,수입,195.0,2065.0
202001,태국,세피아 오피시날리스,수입,0.3,4.0
202001,인도네시아,세피아 오피시날리스,수입,3.0,35.0
202001,베트남,세피아 오피시날리스,수입,10073.0,57214.0
202001,스페인,세피아 오피시날리스,수입,22752.5,116681.0
202001,기니아,,수입,517.5,2382.0
202001,기네비소,,수입,117.0,1110.0
202001,소말리아,,수입,35464.0,148793.0
202001,태국,,수입,32412.0,303916.0
202001,인도네시아,,수입,18657.2,117604.0
202001,베트남,,수출,9905.0,76357.0
202001,베트남,,수입,305279.06,1973463.0
202001,필리핀,,수입,1000.0,10214.0
202001,미국,,수출,1192.0,12219.0
202001,말레이시아,,수입,10206.0,76091.0
202001,페루,옴마스트레페스,수입,44000.0,115500.0
202001,이디오피아,옴마스트레페스,수입,5.0,34.0
202001,대만,옴마스트레페스,수입,24309.0,63503.0
202001,태국,옴마스트레페스,수입,6060.0,76044.0
202001,인도네시아,옴마스트레페스,수입,37609.0,276969.0
202001,베트남,옴마스트레페스,수입,35960.52,334345.0
202001,뉴질랜드,옴마스트레페스,수입,86730.0,429717.0
202001,중국,옴마스트레페스,수입,188002.5,806707.0
202001,칠레,옴마스트레페스,수입,47460.0,107558.0
202001,스페인,옴마스트레페스,수출,73147.0,220292.0
202001,페루,,수입,2042324.0,4373079.0
202001,대만,,수입,51246.0,241281.0
202001,아르헨티나,,수입,24304.0,88710.0
202001,소말리아,,수입,1530.0,4131.0
202001,카나다,,수입,24000.0,68895.0
202001,러시아,,수입,171264.0,736503.0
202001,우루과이,,수입,11972.0,44648.0
202001,태국,,수출,50100.0,186576.0
202001,태국,,수입,0.4,10.0
202001,인도네시아,,수입,43826.5,116915.0
202001,베트남,,수입,3013.3,25285.0
202001,일본,,수출,9287.5,98776.0
202001,미국,,수출,28591.35,240929.0
202001,미국,,수입,326567.38,904368.0
202001,호주,,수출,3779.52,23721.0
202001,중국,,수출,98052.3,231102.0
202001,중국,,수입,6064657.17,22107086.0
202001,칠레,,수입,956100.0,1962640.0
202001,북마나리아나군도,,수출,30.0,670.0
202001,베트남,갑오징어,수입,100720.0,3372629.0
202001,괌,갑오징어,수출,16.0,616.0
202001,미국,갑오징어,수출,2935.75,44554.0
202001,대만,,수출,180.0,1213.0
202001,베트남,,수입,8.0,75.0
202001,미국,,수출,735.3,23067.0
202001,호주,,수출,36.0,1875.0
202001,중국,,수출,617.763,1876.0
202001,중국,,수입,23420.976,404355.0
202001,말레이시아,,수출,70.4,634.0
202001,태국,염장이나 염수장한 것,수입,720.0,5029.0
202001,태국,,수출,99058.0,67141.0
202001,터키,,수입,374.2,3681.0
202001,카나다,태평양 연어,수입,380.8,10136.0
202001,미국,태평양 연어,수입,25312.0,87038.0
202001,중국,태평양 연어,수입,18000.0,71525.0
202001,노르웨이,태평양 연어,수입,8280.7,138209.0
202001,칠레,태평양 연어,수입,38018.0,456093.0
202001,독일,태평양 연어,수입,13.2,413.0
202001,네덜란드,태평양 연어,수입,14.49,113.0
202001,뉴질랜드,태평양 연어,수입,6000.0,194100.0
202001,폴란드,태평양 연어,수입,240.0,4746.0
202001,노르웨이,태평양 연어,수입,15136.85,363582.0
202001,영국,태평양 연어,수입,14.66,73.0
202001,북마나리아나군도,태평양 연어,수출,1000.0,17432.0
202001,태국,염장이나 염수장한 것,수입,5167.2,16647.0
202001,노르웨이,훈제한 것,수입,0.085,12.0
202001,도미니카공화국,건조한 것,수출,16.95,460.0
202001,나이지리아,건조한 것,수출,50.0,727.0
202001,인디아,건조한 것,수입,0.4,15.0
202001,뉴질랜드,건조한 것,수출,21.3,491.0
202001,호주,건조한 것,수출,79.1,1941.0
202001,중국,건조한 것,수입,178210.0,1311216.0
202001,쿠웨이트,건조한 것,수출,11.87,244.0
202001,미얀마,염장이나 염수장한 것,수입,20160.0,11088.0
202001,도미니카공화국,염장이나 염수장한 것,수출,240.0,1967.0
202001,대만,염장이나 염수장한 것,수출,800.0,4934.0
202001,카나다,염장이나 염수장한 것,수출,13121.35,54402.0
202001,태국,염장이나 염수장한 것,수입,1555.2,5512.0
202001,인도네시아,염장이나 염수장한 것,수입,23800.0,15859.0
202001,베트남,염장이나 염수장한 것,수입,384940.0,341955.0
202001,괌,염장이나 염수장한 것,수출,60.0,265.0
202001,뉴질랜드,염장이나 염수장한 것,수출,60.0,431.0
202001,미국,염장이나 염수장한 것,수출,6688.0,47563.0
202001,중국,염장이나 염수장한 것,수입,252883.0,290097.0
202001,마카오,염장이나 염수장한 것,수출,100.0,1114.0
202001,북마나리아나군도,염장이나 염수장한 것,수출,240.0,1913.0
202001,중국,건조한 것,수출,24200.0,59878.0
202001,칠레,건조한 것,수입,24200.0,58100.0
202001,태국,염장이나 염수장한 것,수입,4224.0,16782.0
202001,베트남,염장이나 염수장한 것,수입,720.0,5635.0
202001,싱가포르,염장이나 염수장한 것,수출,20.0,234.0
202001,일본,냉동한 것,수입,14830.0,89879.0
202001,중국,냉동한 것,수입,99459.6,502542.0
202001,카나다,냉동한 것,수출,144.0,1540.0
202001,괌,냉동한 것,수출,300.0,1050.0
202001,뉴질랜드,냉동한 것,수입,11.2,478.0
202001,이디오피아,문어,수입,5.0,50.0
202001,대만,문어,수출,3300.0,11380.0
202001,감비아,문어,수입,2970.0,18778.0
202001,인도네시아,문어,수입,38640.3,211367.0
202001,베트남,문어,수입,4680.0,30508.0
202001,필리핀,문어,수입,102013.0,757288.0
202001,모리타니아,문어,수입,44713.3,400775.0
202001,미국,문어,수출,135.0,1826.0
202001,세네갈,문어,수입,15002.0,110936.0
202001,중국,문어,수입,152655.28,937368.0
202001,북마나리아나군도,문어,수출,5.0,117.0
202001,태국,낙지,수입,113769.8,811893.0
202001,인도네시아,낙지,수입,49586.0,290242.0
202001,베트남,낙지,수입,625030.46,4369402.0
202001,호주,낙지,수출,300.0,3650.0
202001,중국,낙지,수입,1078316.4,7479348.0
202001,말레이시아,낙지,수입,29100.0,189091.0
202001,마카오,낙지,수출,120.0,1437.0
202001,태국,쭈꾸미,수입,226668.38,1556980.0
202001,인도네시아,쭈꾸미,수입,61228.2,304433.0
202001,베트남,쭈꾸미,수입,1800402.04,10206519.0
202001,중국,쭈꾸미,수입,119507.2,507609.0
202001,말레이시아,쭈꾸미,수입,6795.96,38231.0
202001,중국,개조개,수입,174566.0,316012.0
202001,일본,개아지살,수입,3000.0,63986.0
202001,필리핀,개아지살,수입,100.0,740.0
202001,미국,개아지살,수출,2.0,5.0
202001,미국,개아지살,수입,3134.592,78222.0
202001,중국,개아지살,수입,124780.0,1576782.0
202001,홍콩,냉동한 것,수출,3490.0,27087.0
202001,독일,냉동한 것,수출,4.5,13.0
202001,대만,냉동한 것,수출,14400.0,56050.0
202001,태국,냉동한 것,수출,25575.0,130344.0
202001,일본,냉동한 것,수출,37756.0,259846.0
202001,미국,냉동한 것,수출,74153.2,607170.0
202001,싱가포르,냉동한 것,수출,90.4,863.0
202001,중국,냉동한 것,수출,6362.0,37724.0
202001,영국,냉동한 것,수출,11258.5,101730.0
202001,페루,냉동한 것,수입,6672.0,120112.0
202001,카나다,냉동한 것,수입,200.0,3000.0
202001,필리핀,냉동한 것,수입,101.7,4068.0
202001,미국,냉동한 것,수입,405.6,32448.0
202001,중국,냉동한 것,수입,98.46,7663.0
202001,칠레,냉동한 것,수입,112.0,6402.0
202001,필리핀,,수입,480.0,11357.0
202001,싱가포르,,수입,364.0,52502.0
202001,중국,,수입,1105.0,56535.0
202001,이탈리아,암염,수입,368.64,4411.0
202001,카자흐,암염,수출,1000.0,913.0
202001,러시아,암염,수입,20000.0,5000.0
202001,필리핀,암염,수출,178.68,352.0
202001,파키스탄,암염,수입,228654.48,64045.0
202001,미국,암염,수입,865.504,9107.0
202001,이란,암염,수입,33.0,751.0
202001,말레이시아,암염,수출,200.0,352.0
202001,일본,장가죽으로 만든 것,수출,1.0,28.0
202001,미국,장가죽으로 만든 것,수입,1.2,498.0
202001,일본,가공한 것,수출,0.159,10.0
202001,미국,세피아 오피시날리스,수출,6.0,136.0
202001,태국,,수입,2472.0,24873.0
202001,중국,,수출,2331.0,5002.0
202001,뉴질랜드,홍합,수입,300.0,11094.0
202001,영국,홍합,수입,1.4,31.0
202001,카나다,냉수성 새우류,수입,22076.0,134978.0
202001,러시아,냉수성 새우류,수입,240.0,5760.0
202001,페루,,수입,325464.0,2172198.0
202001,사우디아라비아,,수입,44370.0,231604.0
202001,이디오피아,,수입,10.0,135.0
202001,아르헨티나,,수입,190175.0,1677225.0
202001,태국,,수입,47193.0,393672.0
202001,인디아,,수입,21485.0,103733.0
202001,인도네시아,,수입,13445.249,82492.0
202001,에쿠아도르,,수입,1189944.0,8006113.0
202001,베트남,,수입,137808.8,1068769.0
202001,필리핀,,수입,26481.8,444568.0
202001,호주,,수입,7380.0,132145.0
202001,콜롬비아,,수입,19920.0,116509.0
202001,중국,,수입,64477.0,178592.0
202001,말레이시아,,수입,552078.9,4569083.0
202001,영국,,수입,0.6,26.0
202001,케냐,멸치,수출,4.5,148.0
