"month","nation","itemNm","imxprt","weight","dollar"
"202001","싱가포르","염장이나 염수장한 것","수출",20,234
"202001","일본","냉동한 것","수입",14830,89879
"202001","중국","냉동한 것","수입",99459.6,502542
"202001","카나다","냉동한 것","수출",144,1540
"202001","괌","냉동한 것","수출",300,1050
"202001","뉴질랜드","냉동한 것","수입",11.2,478
"202001","이디오피아","문어","수입",5,50
"202001","대만","문어","수출",3300,11380
"202001","감비아","문어","수입",2970,18778
"202001","인도네시아","문어","수입",38640.3,211367
"202001","베트남","문어","수입",4680,30508
"202001","필리핀","문어","수입",102013,757288
"202001","모리타니아","문어","수입",44713.3,400775
"202001","미국","문어","수출",135,1826
"202001","세네갈","문어","수입",15002,110936
"202001","중국","문어","수입",152655.28,937368
"202001","북마나리아나군도","문어","수출",5,117
"202001","태국","낙지","수입",113769.8,811893
"202001","인도네시아","낙지","수입",49586,290242
"202001","베트남","낙지","수입",625030.46,4369402
"202001","호주","낙지","수출",300,3650
"202001","중국","낙지","수입",1078316.4,7479348
"202001","말레이시아","낙지","수입",29100,189091
"202001","마카오","낙지","수출",120,1437
"202001","태국","쭈꾸미","수입",226668.38,1556980
"202001","인도네시아","쭈꾸미","수입",61228.2,304433
"202001","베트남","쭈꾸미","수입",1800402.04,10206519
"202001","중국","쭈꾸미","수입",119507.2,507609
"202001","중국","쭈꾸미","수입",119507.2,507609
"202001","말레이시아","쭈꾸미","수입",6795.96,38231
"202001","중국","개조개","수입",174566,316012
"202001","일본","개아지살","수입",3000,63986
"202001","필리핀","개아지살","수입",100,740
"202001","미국","개아지살","수출",2,5
"202001","미국","개아지살","수입",3134.592,78222
"202001","중국","개아지살","수입",124780,1576782
"202001","싱가포르","살아있거나","수출",70,773
"202001","중국","살아있거나","수출",159040,283777
"202001","홍콩","냉동한 것","수출",3490,27087
"202001","독일","냉동한 것","수출",4.5,13
"202001","대만","냉동한 것","수출",14400,56050
"202001","태국","냉동한 것","수출",25575,130344
"202001","일본","냉동한 것","수출",37756,259846
"202001","미국","냉동한 것","수출",74153.2,607170
"202001","싱가포르","냉동한 것","수출",90.4,863
"202001","중국","냉동한 것","수출",6362,37724
"202001","영국","냉동한 것","수출",11258.5,101730
"202001","페루","냉동한 것","수입",6672,120112
"202001","카나다","냉동한 것","수입",200,3000
"202001","필리핀","냉동한 것","수입",101.7,4068
"202001","미국","냉동한 것","수입",405.6,32448
"202001","중국","냉동한 것","수입",98.46,7663
"202001","칠레","냉동한 것","수입",112,6402
"202001","필리핀","기타","수입",480,11357
"202001","싱가포르","기타","수입",364,52502
"202001","중국","기타","수입",1105,56535
"202001","이탈리아","암염","수입",368.64,4411
"202001","카자흐","암염","수출",1000,913
"202001","러시아","암염","수입",20000,5000
"202001","필리핀","암염","수출",178.68,352
"202001","파키스탄","암염","수입",228654.48,64045
"202001","미국","암염","수입",865.504,9107
"202001","이란","암염","수입",33,751
"202001","말레이시아","암염","수출",200,352
"202001","일본","장어류의 가죽으로 만든 것","수출",1,28
"202001","미국","장어류의 가죽으로 만든 것","수입",1.2,498
"202001","일본","가공한 것","수출",0.159,10
"202001","미국","세피아 오피시날리스","수출",6,136
"202001","태국","기타","수입",2472,24873
"202001","중국","기타","수출",2331,5002
"202001","뉴질랜드","홍합","수입",300,11094
"202001","영국","홍합","수입",1.4,31
"202001","카나다","냉수성 새우류","수입",22076,134978
"202001","러시아","냉수성 새우류","수입",240,5760
"202001","페루","기타의 새우류의","수입",325464,2172198
"202001","사우디아라비아","기타의 새우류의","수입",44370,231604
"202001","이디오피아","기타의 새우류의","수입",10,135
"202001","아르헨티나","기타의 새우류의","수입",190175,1677225
"202001","태국","기타의 새우류의","수입",47193,393672
"202001","인디아","기타의 새우류의","수입",21485,103733
"202001","인도네시아","기타의 새우류의","수입",13445.249,82492
"202001","에쿠아도르","기타의 새우류의","수입",1189944,8006113
"202001","베트남","기타의 새우류의","수입",137808.8,1068769
"202001","필리핀","기타의 새우류의","수입",26481.8,444568
"202001","호주","기타의 새우류의","수입",7380,132145
"202001","콜롬비아","기타의 새우류의","수입",19920,116509
"202001","중국","기타의 새우류의","수입",64477,178592
"202001","말레이시아","기타의 새우류의","수입",552078.9,4569083
"202001","영국","기타의 새우류의","수입",0.6,26
"202001","케냐","멸치","수출",4.5,148
"202001","이탈리아","멸치","수입",1062.6,16260
"202001","홍콩","멸치","수출",9.6,576
"202001","라오스","멸치","수출",4,109
"202001","몽고","멸치","수출",1.5,52
"202001","카나다","멸치","수출",36,553
"202001","알바니아","멸치","수입",344.35,8268
"202001","일본","멸치","수입",0.2,3
"202001","필리핀","멸치","수출",21,646
"202001","미국","멸치","수출",357.5,6628
"202001","미국","멸치","수입",0.498,11
"202001","호주","멸치","수출",18,507
"202001","싱가포르","멸치","수출",4.5,157
"202001","말레이시아","멸치","수출",6,253
"202001","북마나리아나군도","멸치","수출",17,344
"202001","스페인","멸치","수입",2632.67,42769
"202001","홍콩","전복","수입",2.465,63
"202001","일본","전복","수출",10.8,511
"202001","호주","전복","수입",357,32495
"202001","프랑스","전복","수입",54,2902
"202001","인도네시아","전복","수입",13999,283169
"202001","필리핀","전복","수입",44904,1033716
"202001","미국","전복","수출",394.1,14068
"202001","중국","전복","수출",1.2,2909
"202001","중국","전복","수입",260,1269
"202001","말레이시아","전복","수입",2400,24048
"202001","남아프리카","기타","수입",1,20
"202001","인도네시아","기타","수입",10935,121475
"202001","에쿠아도르","기타","수입",18955.2,146065
"202001","베트남","기타","수입",1100,5824
"202001","미국","기타","수출",2047.6,49870
"202001","중국","기타","수입",4500,37150
"202001","이탈리아","전갱이","수입",108,1536
"202001","홍콩","전갱이","수출",90,1760
"202001","태국","전갱이","수입",324,2010
"202001","베트남","전갱이","수출",380,378
"202001","베트남","전갱이","수입",832,4839
"202001","필리핀","전갱이","수출",50.88,861
"202001","미국","전갱이","수출",151.2,1546
"202001","미국","전갱이","수입",22.19,309
"202001","미국","전갱이","수입",22.19,309
"202001","호주","전갱이","수출",181,3832
"202001","싱가포르","전갱이","수출",1.44,34
"202001","말레이시아","전갱이","수출",84,1643
"202001","스페인","전갱이","수입",27.3,1511
"202001","인도네시아","달팽이","수입",9600,34055
"202001","괌","달팽이","수출",48,273
"202001","프랑스","달팽이","수입",120,4337
"202001","베트남","달팽이","수입",948,96
"202001","헝가리","달팽이","수입",110.592,4145
"202001","중국","달팽이","수입",16800,42520
"202001","사우디아라비아","골뱅이","수출",480,5930
"202001","이탈리아","골뱅이","수출",480,5500
"202001","오만","골뱅이","수출",2169.6,28004
"202001","홍콩","골뱅이","수출",48,575
"202001","아르헨티나","골뱅이","수출",192,2290
"202001","카나다","골뱅이","수출",1152,13607
"202001","방글라데시","골뱅이","수출",96,1131
"202001","인도네시아","골뱅이","수출",288,3895
"202001","베트남","골뱅이","수출",319.2,4790
"202001","알바니아","골뱅이","수출",4.35,152
"202001","일본","골뱅이","수출",960,12271
"202001","필리핀","골뱅이","수출",213.2,2801
"202001","미국","골뱅이","수출",11952,126597
"202001","호주","골뱅이","수출",1339.2,14469
"202001","말레이시아","골뱅이","수출",457.6,3769
"202001","칠레","골뱅이","수출",48,569
"202001","아일랜드","골뱅이","수입",130020,1630865
"202001","태국","골뱅이","수출",1000,5126
"202001","중국","골뱅이","수입",24010,77002
"202001","영국","골뱅이","수입",261295,3046696
"202001","카나다","클램","수입",567.6,13339
"202001","베트남","클램","수입",8000,17368
"202001","미국","클램","수출",300,4899
"202001","미국","클램","수입",6.647,88
"202001","중국","클램","수출",3774,6418
"202001","중국","클램","수입",10760,50248
"202001","캄보디아","굴치패","수출",200,1790
"202001","홍콩","굴치패","수출",12970,88003
"202001","대만","굴치패","수출",100,550
"202001","러시아","굴치패","수출",500,5680
"202001","일본","굴치패","수출",24390,200682
"202001","필리핀","굴치패","수출",10,138
"202001","아랍에미리트연합","굴치패","수출",3,49
"202001","중국","굴치패","수출",33325,57348
"202001","카나다","가다랭이","수출",1886.4,16897
"202001","나이지리아","가다랭이","수출",439.2,4261
"202001","베트남","가다랭이","수출",2520,14021
"202001","일본","가다랭이","수출",1200,5574
"202001","일본","가다랭이","수입",0.4,42
"202001","볼리비아","가다랭이","수출",72,427
"202001","미국","가다랭이","수출",486,2868
"202001","호주","가다랭이","수출",360,2132
"202001","중국","가다랭이","수출",5820,39262
"202001","말레이시아","가다랭이","수출",72,467
"202001","일본","소라","수출",80970,303496
"202001","싱가포르","소라","수출",40,478
"202001","말레이시아","소라","수출",20,213
"202001","카나다","연어","수입",7.6,63
"202001","태국","연어","수입",108,365
"202001","일본","연어","수입",0.46,15
"202001","미국","연어","수입",2.445,107
"202001","폴란드","연어","수입",3690,69336
"202001","중국","연어","수입",1910,9578
"202001","대만","분한천","수출",25,500
"202001","인도네시아","분한천","수입",500.427,10706
"202001","일본","분한천","수출",21620,729693
"202001","일본","분한천","수입",50,2253
"202001","미국","분한천","수출",9742.26,246475
"202001","미국","분한천","수입",7.03,207
"202001","중국","분한천","수출",10000,162986
"202001","중국","분한천","수입",123000.425,1433822
"202001","영국","분한천","수출",300,6300
"202001","스페인","분한천","수입",0.1,16
"202001","중국","한천","수입",0.935,18
"202001","영국","한천","수입",1,105
"202001","스페인","한천","수입",7.75,4046
"202001","일본","해초류","수출",6520,13563
"202001","일본","해초류","수입",1.3,39
"202001","미국","해초류","수입",2.869,98
"202001","중국","해초류","수입",6820,4891
"202001","일본","실한천","수출",200,10276
"202001","중국","실한천","수입",7000,108640
"202001","프랑스","어류의액스","수입",0.06,16
"202001","태국","어류의액스","수입",38048,45520
"202001","인도네시아","어류의액스","수출",18000,16413
"202001","인도네시아","어류의액스","수입",0.2,10
"202001","베트남","어류의액스","수출",74115,26681
"202001","베트남","어류의액스","수입",174550,73910
"202001","일본","어류의액스","수입",1100,9655
"202001","뉴질랜드","어류의액스","수입",20,119
"202001","미국","어류의액스","수출",200,1580
"202001","중국","어류의액스","수출",10500,10896
"202001","멕시코","어류의즙","수출",360,660
"202001","미얀마","어류의즙","수출",225,366
"202001","사우디아라비아","어류의즙","수출",600,1232
"202001","캄보디아","어류의즙","수출",1169,1981
"202001","홍콩","어류의즙","수출",1152,9311
"202001","독일","어류의즙","수입",2.7,53
"202001","대만","어류의즙","수출",1440,1961
"202001","몽고","어류의즙","수출",105,242
"202001","몽고","어류의즙","수출",105,242
"202001","카나다","어류의즙","수출",1560,4872
"202001","방글라데시","어류의즙","수출",240,417
"202001","러시아","어류의즙","수출",1200,1800
"202001","태국","어류의즙","수출",180,207
"202001","태국","어류의즙","수입",81488.4,117265
"202001","인디아","어류의즙","수출",195,279
"202001","인도네시아","어류의즙","수출",3240,4770
"202001","베트남","어류의즙","수출",1120,1366
