선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
장승현,두산,92,211,177,41,2,18,27,19,50,0,0.31,0.232,0.332,0.322,0.654,0.313,0.74
정수빈,두산,104,351,313,81,3,50,37,29,50,12,0.299,0.259,0.327,0.374,0.701,0.321,0.72
김태군,NC,102,276,232,51,7,23,24,21,30,0,0.222,0.22,0.311,0.341,0.652,0.305,0.72
김민식,KIA,100,301,250,55,3,30,26,41,49,0,0.259,0.22,0.336,0.288,0.624,0.305,0.71
허도환,KT,62,125,105,29,2,8,21,8,28,0,0.36,0.276,0.339,0.39,0.729,0.335,0.7
김지찬,삼성,120,336,296,81,1,50,26,27,31,23,0.3,0.274,0.331,0.304,0.635,0.302,0.7
오윤석,KT,64,122,95,24,2,14,12,20,26,2,0.328,0.253,0.393,0.358,0.751,0.364,0.67
권동진,KT,86,86,67,17,1,21,6,18,30,3,0.444,0.254,0.412,0.373,0.785,0.38,0.66
김헌곤,삼성,118,364,317,89,4,38,27,34,46,5,0.313,0.281,0.355,0.356,0.711,0.333,0.63
김재유,롯데,87,192,174,50,1,27,18,10,36,7,0.358,0.287,0.34,0.351,0.691,0.322,0.6
김주원,NC,69,189,166,40,5,20,16,17,57,6,0.33,0.241,0.316,0.386,0.702,0.319,0.6
추재현,롯데,95,300,262,66,5,37,26,26,57,4,0.305,0.252,0.336,0.366,0.702,0.328,0.58
박병호,Hero,118,477,409,93,20,48,76,47,141,0,0.286,0.227,0.323,0.43,0.753,0.336,0.55
이현석,SSG,39,89,79,21,4,7,19,5,29,0,0.354,0.266,0.302,0.481,0.783,0.338,0.54
한승택,KIA,82,239,203,44,3,17,16,28,61,0,0.295,0.217,0.321,0.296,0.617,0.299,0.54
송성문,Hero,66,274,245,61,6,30,33,25,42,0,0.278,0.249,0.32,0.371,0.691,0.318,0.53
이성곤,한화,60,206,172,46,1,17,24,29,52,0,0.375,0.267,0.38,0.378,0.758,0.358,0.51
이흥련,SSG,90,146,127,30,3,15,14,12,31,0,0.29,0.236,0.326,0.331,0.657,0.312,0.51
문보경,LG,107,329,278,64,8,37,39,46,64,3,0.269,0.23,0.337,0.363,0.7,0.327,0.51
김민수,삼성,47,87,76,20,3,9,13,6,13,0,0.274,0.263,0.318,0.447,0.765,0.337,0.5
서건창,LG,68,267,235,58,2,33,25,24,34,6,0.28,0.247,0.323,0.332,0.655,0.308,0.44
이형종,LG,90,281,239,52,10,32,34,34,65,3,0.256,0.218,0.332,0.389,0.721,0.334,0.44
김준태,롯데,47,131,111,23,4,17,15,17,35,0,0.257,0.207,0.313,0.36,0.673,0.313,0.44
알몬테,KT,60,250,225,61,7,18,36,22,50,1,0.318,0.271,0.336,0.404,0.74,0.337,0.43
최용제,두산,78,119,104,29,0,7,15,11,21,0,0.345,0.279,0.356,0.308,0.664,0.32,0.39
김주형,Hero,36,70,50,9,0,5,5,4,15,1,0.257,0.18,0.388,0.24,0.628,0.338,0.38
김찬형,NC,17,26,22,8,0,2,1,2,5,0,0.471,0.364,0.44,0.409,0.849,0.401,0.35
강승호,두산,113,340,301,72,7,47,37,22,78,8,0.297,0.239,0.301,0.375,0.676,0.306,0.35
안재석,두산,96,224,200,51,2,28,14,16,53,1,0.329,0.255,0.317,0.345,0.662,0.306,0.34
이지영,Hero,108,258,233,64,0,29,31,19,17,3,0.292,0.275,0.328,0.305,0.633,0.296,0.32
호잉,KT,68,294,259,62,11,32,52,26,52,5,0.254,0.239,0.313,0.417,0.73,0.324,0.32
신용수,롯데,71,136,119,31,1,23,6,11,20,3,0.303,0.261,0.336,0.361,0.697,0.324,0.31
김민성,LG,121,426,360,80,8,35,39,42,73,3,0.254,0.222,0.313,0.35,0.663,0.307,0.31
최정원,NC,72,238,212,60,0,40,8,18,40,9,0.349,0.283,0.35,0.321,0.671,0.32,0.3
오태곤,SSG,122,253,235,63,9,47,35,14,52,9,0.309,0.268,0.313,0.426,0.739,0.33,0.3
이정범,SSG,19,66,59,15,3,8,9,7,15,0,0.293,0.254,0.333,0.475,0.808,0.359,0.3
터커,KIA,127,539,468,111,9,42,59,61,66,0,0.258,0.237,0.334,0.35,0.684,0.322,0.3
송민섭,KT,122,65,48,11,0,39,7,12,22,15,0.423,0.229,0.383,0.229,0.612,0.323,0.3
김성표,삼성,39,24,18,6,0,10,1,5,7,2,0.545,0.333,0.478,0.333,0.811,0.408,0.26
윤형준,NC,51,81,74,22,5,10,10,3,17,0,0.321,0.297,0.321,0.5,0.821,0.356,0.26
정주현,LG,73,214,181,43,3,26,10,24,32,3,0.272,0.238,0.325,0.337,0.662,0.312,0.24
한석현,LG,16,26,21,6,0,5,1,3,7,2,0.400,0.286,0.385,0.476,0.861,0.382,0.22
페레즈,한화,59,252,224,60,5,26,33,17,52,4,0.316,0.268,0.321,0.411,0.732,0.327,0.22
노수광,한화,52,180,160,37,3,21,14,17,46,13,0.306,0.231,0.309,0.331,0.64,0.3,0.22
이진영,KIA,17,47,40,8,2,8,5,3,22,1,0.375,0.2,0.319,0.45,0.769,0.345,0.22
최영진,삼성,44,63,57,16,1,9,6,5,12,1,0.341,0.281,0.349,0.386,0.735,0.339,0.21
김호령,KIA,62,154,130,27,4,16,15,16,44,4,0.280,0.208,0.322,0.315,0.637,0.308,0.21
이정훈,KIA,41,151,129,32,2,14,14,19,33,0,0.319,0.248,0.358,0.341,0.699,0.335,0.2
라모스,LG,51,205,185,45,8,14,25,18,43,0,0.276,0.243,0.317,0.422,0.739,0.333,0.2
최형우,KIA,104,446,373,87,12,52,55,67,67,0,0.253,0.233,0.354,0.375,0.729,0.334,0.19
유민상,KIA,24,74,60,14,1,7,6,8,18,0,0.317,0.233,0.378,0.317,0.695,0.345,0.17
정현,NC,56,120,96,22,0,9,7,14,20,0,0.289,0.229,0.351,0.281,0.632,0.315,0.16
정현,SSG,12,29,21,4,0,5,0,3,4,0,0.235,0.19,0.37,0.286,0.656,0.335,0.16
손성빈,롯데,20,22,19,6,0,4,0,3,6,0,0.462,0.316,0.409,0.316,0.725,0.356,0.15
강한울,삼성,124,258,223,58,0,25,27,29,58,2,0.345,0.26,0.341,0.283,0.624,0.304,0.15
남태혁,SSG,12,22,20,6,1,2,4,1,7,0,0.417,0.3,0.364,0.5,0.864,0.385,0.14
이재원,LG,62,171,154,38,5,22,17,14,48,5,0.324,0.247,0.316,0.383,0.699,0.319,0.14
신본기,KT,96,206,174,41,1,25,19,22,45,1,0.310,0.236,0.333,0.299,0.632,0.307,0.14
정범모,NC,19,23,19,4,1,2,5,2,4,0,0.214,0.211,0.318,0.421,0.739,0.336,0.13
박지훈,두산,34,14,12,4,0,6,2,1,3,3,0.444,0.333,0.429,0.417,0.846,0.399,0.12
최항,SSG,34,79,69,19,0,5,7,6,16,1,0.352,0.275,0.346,0.333,0.679,0.315,0.12
박준영,NC,111,315,273,57,8,37,31,27,92,4,0.280,0.209,0.301,0.337,0.638,0.299,0.12
전민수,NC,71,109,98,25,3,12,16,11,23,0,0.306,0.255,0.33,0.378,0.708,0.323,0.11
김민수,롯데,82,224,199,48,3,19,25,18,62,0,0.333,0.241,0.312,0.352,0.664,0.307,0.11
천성호,KT,41,47,42,12,0,13,4,3,9,1,0.364,0.286,0.362,0.31,0.672,0.325,0.1
