"meanPrice","aptName","siggName","dongName","exclusiveArea","householdCnt","leaseCnt","dongCnt","floorAreaRate","parkingLotCnt"
8.89727272727273,"래미안상도2차","동작구","상도동",84.796,431,0,9,234,491
9.5875,"한신휴플러스","동작구","본동",114.91,247,0,4,257,450
3.5,"관악태우미소가","관악구","봉천동",48.55,35,0,1,551,23
1.19,"서울대역마에스트로(도시형)","관악구","봉천동",12.43,84,0,1,799,36
6.375,"예성그린캐슬3차","관악구","남현동",67.69,49,0,1,295,61
16.525,"방배래미안타워","서초구","방배동",134.96,344,0,4,296,641
13.45,"양재우성KBS(113동)","서초구","양재동",84.69,150,0,1,186,97
3.02166666666667,"서초리슈빌S(도시형)","서초구","우면동",30.89,98,0,1,396,48
14.1015789473684,"신반포12차","서초구","잠원동",55.45,324,0,3,0,312
22.2535714285714,"래미안퍼스티지","서초구","반포동",59.96,2444,266,28,269,4368
15,"서초대우(엘로즈카운티)","서초구","서초동",188.47,73,0,1,398,210
8.7,"마샹스2차","서초구","서초동",100.71,12,0,1,264,15
11.9333333333333,"서초한빛삼성","서초구","서초동",59.52,264,0,2,281,360
19.1675,"삼성롯데","강남구","삼성동",91.77,339,0,3,337,418
24.9,"홍실","강남구","삼성동",96.32,384,0,6,172,420
23.875,"개포우성2차","강남구","대치동",84.69,450,0,5,0,540
2.81,"선릉역대우아이빌5차","강남구","대치동",28.34,150,0,1,694,154
22.05,"래미안도곡카운티","강남구","도곡동",71.85,397,14,8,261,510
15.8714285714286,"우성1,2,3차","송파구","잠실동",80.35,1842,0,26,0,1842
15.78,"잠실푸르지오월드마크","송파구","신천동",108.32,288,0,2,598,506
5.55,"금강캐스빌","송파구","풍납동",82.1,43,0,1,179,51
13.8755555555556,"래미안송파파인탑","송파구","송파동",71.73,794,25,9,253,978
10.74375,"가락우성1차","송파구","가락동",58.46,838,0,7,210,430
9.75,"가락스타클래스","송파구","가락동",115.94,72,0,1,431,124
10.6357142857143,"송파위례22단지한라비발디","송파구","장지동",59.85,1139,0,12,203,1198
8.29555555555556,"명일LG","강동구","명일동",84.96,772,0,2,380,819
