"date","aptName","dong","household","floorAreaRate","numParkinglot","exclusiveArea","floor","price"
2020-06-05,"개포주공5단지","개포동",940,151,912,61.19,2,16.75
2020-06-05,"래미안삼성2차","삼성동",275,273,533,164.72,8,26.5
2020-06-05,"대치쌍용1차","대치동",630,169,670,128.03,15,25.15
2020-06-05,"동부센트레빌","대치동",805,297,1824,121.74,27,34
2020-06-05,"테헤란로대우아이빌","대치동",371,1096,180,59.83,26,7.9
2020-06-05,"마일스디오빌","논현동",260,599,200,36.29,6,3.89
2020-06-05,"논현한진로즈힐","논현동",81,222,124,84.94,4,13
2020-06-05,"미성2차","압구정동",911,0,1093,74.4,6,19.7
2020-06-05,"래미안강남힐즈","자곡동",1020,159,1554,91.96,2,14.65
2020-06-05,"수서1-2단지","일원동",720,177,529,39.98,3,8.5
2020-06-05,"한솔마을","일원동",570,108,1140,84.73,2,16.5
2020-06-05,"푸른마을","일원동",930,249,930,84.93,8,15.3
2020-06-05,"도곡삼성래미안","도곡동",732,291,1122,89.88,22,20
2020-06-05,"래미안도곡카운티","도곡동",397,261,510,106.39,18,27
2020-06-05,"대우양재디오빌","도곡동",155,882,123,25.89,15,2.6
2020-06-06,"역삼한스빌","역삼동",216,376,154,39.89,12,3.6
2020-06-06,"개나리푸르지오","역삼동",332,275,552,133.1686,24,27
2020-06-06,"대청","개포동",822,0,700,39.53,12,10.5
2020-06-06,"대치2단지","개포동",1758,174,1758,39.53,12,10.5
2020-06-06,"대청","개포동",822,0,700,33.18,4,8.75
2020-06-06,"대치2단지","개포동",1758,174,1758,33.18,4,8.75
2020-06-06,"대청","개포동",822,0,700,33.18,3,8.98
2020-06-06,"대치2단지","개포동",1758,174,1758,33.18,3,8.98
2020-06-06,"대청","개포동",822,0,700,33.18,8,9.5
2020-06-06,"대치2단지","개포동",1758,174,1758,33.18,8,9.5
2020-06-06,"대청","개포동",822,0,700,39.53,1,10
2020-06-06,"대치2단지","개포동",1758,174,1758,39.53,1,10
2020-06-06,"대청","개포동",822,0,700,39.53,9,10.4
2020-06-06,"대치2단지","개포동",1758,174,1758,39.53,9,10.4
2020-06-06,"청담e-편한세상1차","청담동",271,296,400,81.84,1,15.75
2020-06-06,"청담자이","청담동",708,266,905,49.639,25,17.2
2020-06-06,"청담대우멤버스카운티10차","청담동",15,240,30,147.91,2,18
2020-06-06,"SM드림빌","삼성동",16,241,12,52.79,3,6.74
2020-06-06,"삼성힐스테이트2단지","삼성동",926,273,1291,84.236,20,23.8
2020-06-06,"개포우성2차","대치동",450,0,540,127.78,12,33.5
2020-06-06,"한보미도맨션1,2차","대치동",2436,179,2906,159.15,10,35.75
2020-06-06,"한보미도맨션1,2차","대치동",2436,179,2906,191.07,13,37
2020-06-06,"한보미도맨션1,2차","대치동",2436,179,2906,84.48,1,21.4
2020-06-06,"논현신동아파밀리에","논현동",644,245,684,35.73,7,8.5
2020-06-06,"논현동부센트레빌","논현동",160,298,239,84.9875,1,14.82
2020-06-06,"현대6,7차","압구정동",1288,210,1120,196.7,14,48
2020-06-06,"현대65동(대림아크로빌)","압구정동",56,240,89,196.7,14,48
2020-06-06,"래미안강남힐즈","자곡동",1020,159,1554,91.96,8,15.3
2020-06-06,"까치마을","수서동",1404,208,1410,34.44,3,7.79
2020-06-06,"수서한아름","수서동",498,249,996,129.45,15,15.9
2020-06-06,"동익","수서동",330,199,314,60.01,11,11.5
