"","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"216","박찬도","삼성",51,116,96,21,1,20,8,15,22,5,0.267,0.219,0.325,0.302,0.627,0.294,-0.26
"217","송우현","키움",14,15,12,0,0,3,0,2,4,0,0,0,0.2,0,0.2,0.151,-0.26
"218","오준혁","SK",70,161,148,40,3,19,18,11,34,0,0.33,0.27,0.323,0.378,0.701,0.313,-0.27
"219","장운호","한화",24,29,27,4,1,5,4,2,9,0,0.176,0.148,0.207,0.296,0.503,0.224,-0.27
"220","김재현","SK",8,14,14,2,0,3,0,0,4,0,0.2,0.143,0.143,0.143,0.286,0.13,-0.27
"221","배성근","롯데",4,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.27
"222","김응민","삼성",45,85,76,17,0,7,5,5,22,0,0.315,0.224,0.28,0.237,0.517,0.248,-0.28
"223","송민섭","KT",113,51,41,8,1,21,5,5,13,4,0.25,0.195,0.292,0.341,0.633,0.288,-0.28
"224","박정음","키움",86,47,43,8,0,20,2,2,14,9,0.276,0.186,0.255,0.233,0.488,0.234,-0.28
"225","김지수","한화",14,26,25,4,1,2,4,1,7,0,0.176,0.16,0.192,0.28,0.472,0.206,-0.28
"226","황윤호","KIA",25,73,70,17,0,5,5,3,10,2,0.283,0.243,0.274,0.286,0.56,0.258,-0.29
"227","장진혁","한화",19,37,32,5,0,2,1,5,6,2,0.192,0.156,0.27,0.219,0.489,0.242,-0.29
"228","추재현","롯데",13,28,24,3,0,3,0,4,8,0,0.188,0.125,0.25,0.125,0.375,0.204,-0.29
"229","조수행","두산",44,40,38,10,0,12,4,2,6,3,0.313,0.263,0.3,0.263,0.563,0.264,-0.31
"230","김영환","KT",10,10,9,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.31
"231","김병희","KT",29,22,21,3,1,4,2,0,7,0,0.143,0.143,0.136,0.286,0.422,0.168,-0.32
"232","박준영","NC",32,51,46,7,0,4,3,2,17,1,0.241,0.152,0.235,0.239,0.474,0.23,-0.33
"233","정주현","LG",134,371,328,81,4,50,30,29,63,8,0.293,0.247,0.312,0.338,0.65,0.298,-0.34
"234","채현우","SK",16,24,23,3,0,2,0,1,8,3,0.2,0.13,0.167,0.174,0.341,0.16,-0.34
"235","김용의","LG",101,75,70,19,1,28,12,3,15,7,0.327,0.271,0.297,0.357,0.654,0.291,-0.35
"236","이우성","KIA",48,67,59,12,0,5,3,6,11,1,0.25,0.203,0.299,0.22,0.519,0.258,-0.35
"237","최준우","SK",66,207,182,43,3,23,14,19,28,1,0.263,0.236,0.307,0.308,0.615,0.285,-0.36
"238","정근우","LG",72,177,154,37,1,23,14,17,23,7,0.275,0.24,0.322,0.286,0.608,0.287,-0.37
"239","이택근","키움",20,64,57,11,0,5,7,7,21,0,0.306,0.193,0.281,0.281,0.562,0.267,-0.37
"240","양우현","삼성",7,24,23,3,0,0,0,1,5,0,0.167,0.13,0.167,0.13,0.297,0.144,-0.38
"241","김동한","롯데",82,73,68,15,0,23,5,5,8,10,0.25,0.221,0.274,0.294,0.568,0.264,-0.39
"242","천성호","KT",66,77,69,14,0,9,1,7,15,1,0.259,0.203,0.286,0.246,0.532,0.258,-0.4
"243","장영석","KIA",11,37,31,4,0,1,2,4,7,0,0.16,0.129,0.243,0.129,0.372,0.2,-0.41
"244","노수광","한화",71,247,216,53,0,26,16,27,48,9,0.314,0.245,0.333,0.292,0.625,0.295,-0.42
"245","오태곤","KT",40,55,50,11,0,7,5,1,16,1,0.324,0.22,0.291,0.28,0.571,0.272,-0.43
"246","국해성","두산",46,94,86,20,3,10,17,6,21,1,0.27,0.233,0.287,0.349,0.636,0.274,-0.44
"247","김성욱","NC",104,226,195,43,8,32,26,18,40,12,0.235,0.221,0.297,0.374,0.671,0.3,-0.45
"248","홍종표","KIA",40,88,80,20,0,7,7,4,13,0,0.294,0.25,0.282,0.288,0.57,0.262,-0.46
"249","최정용","KIA",38,59,56,11,1,5,5,2,15,0,0.25,0.196,0.224,0.268,0.492,0.221,-0.48
"250","이재원","LG",16,22,20,1,0,1,0,2,11,0,0.111,0.05,0.136,0.05,0.186,0.109,-0.48
"251","홍현빈","KT",40,24,18,0,0,5,1,5,5,0,0,0,0.217,0,0.217,0.136,-0.5
"252","김민혁","KT",108,249,222,53,5,35,25,22,42,8,0.273,0.239,0.312,0.347,0.659,0.301,-0.51
"253","김태진","NC",37,88,83,18,1,10,6,4,22,2,0.283,0.217,0.253,0.289,0.542,0.246,-0.52
"254","김경호","SK",56,110,105,30,0,17,9,3,16,1,0.333,0.286,0.303,0.333,0.636,0.287,-0.53
"255","오선진","한화",93,222,197,46,2,17,17,16,39,0,0.282,0.234,0.301,0.284,0.585,0.275,-0.53
"256","임종찬","한화",52,119,108,25,1,5,12,9,38,0,0.348,0.231,0.297,0.306,0.603,0.28,-0.53
"257","노태형","한화",55,113,102,22,0,14,6,7,31,0,0.31,0.216,0.286,0.275,0.561,0.266,-0.54
"258","고종욱","SK",92,288,272,77,3,24,26,14,55,1,0.344,0.283,0.319,0.371,0.69,0.311,-0.56
"259","유장혁","한화",30,46,42,7,0,3,0,4,18,0,0.292,0.167,0.239,0.19,0.429,0.211,-0.56
"260","정진기","SK",50,140,126,30,2,14,15,7,34,7,0.304,0.238,0.279,0.333,0.612,0.271,-0.58
"261","남태혁","SK",35,72,66,13,1,3,11,6,22,0,0.279,0.197,0.264,0.258,0.522,0.245,-0.6
"262","최진행*","한화",84,240,214,50,8,23,30,19,59,0,0.28,0.234,0.304,0.369,0.673,0.302,-0.61
"263","윤석민","SK",34,76,73,14,3,4,12,2,12,0,0.186,0.192,0.211,0.342,0.553,0.235,-0.61
"264","모터","키움",10,37,35,4,1,4,3,1,10,0,0.12,0.114,0.135,0.2,0.335,0.145,-0.61
"265","최지훈","SK",127,520,466,120,1,66,27,38,80,18,0.307,0.258,0.318,0.326,0.644,0.299,-0.63
"266","이현석","SK",57,109,101,18,2,7,7,4,30,1,0.232,0.178,0.224,0.257,0.481,0.221,-0.65
